Title,Latitude,Longitude
ABE,40.65330243,-75.44220033
ABQ,35.04460876,-106.6065969
ACY,39.46089109,-74.57966249
AFA,64.81928225,-147.8595627
AFW,32.830289,-97.362535
ANC,61.19935994,-150.014433
ATL,33.64458325,-84.43856057
ATW,44.25967369,44.25967369
AUS,30.18733994,30.18733994
AVL,35.4368283,35.4368283
BFI,47.52914733,47.52914733
BLI,48.79197338,48.79197338
BNA,36.12591444,36.12591444
BOI,43.55841563,43.55841563
BOS,42.36910671,42.36910671
BQN,18.49300619,18.49300619
BUF,42.94284089,42.94284089
BUR,34.19958672,34.19958672
BWI,39.17548594,39.17548594
CGN,50.86402692,50.86402692
CHS,32.89565105,32.89565105
CLE,41.40984708,41.40984708
CLT,35.21316213,35.21316213
CMH,39.99721442,39.99721442
COS,38.80493796,38.80493796
CVG,39.07092983,39.07092983
DAL,32.84742694,32.84742694
DAY,39.90166937,39.90166937
DCA,38.85588333,38.85588333
DEN,39.86417813,39.86417813
DFW,32.9152,-97.0601
DSM,41.53301493,-93.66135895
DTW,42.22116885,-83.36582537
EWR,40.69827496,-74.18052109
FAT,36.77605612,-119.7209179
FLL,26.06584821,-80.15961121
FNT,42.96728418,-83.74490219
Ft Hood,31.13894056,-97.71302702
Ft. Dix,40.02630598,-74.59109133
Ft. Knox,37.90718839,-85.96542122
Ft. Rucker,31.35759076,-85.75015783
GEG,47.61859901,-117.5502486
GPI,48.31134798,-114.25714
GRR,42.88147403,-85.52225745
GUM,13.48393975,144.7991248
HNL,21.311047,-157.9284121
HOU,29.6439492,-95.27746556
HVN,41.26665173,-72.88470948
IAD,38.95634108,-77.44956059
IAH,29.99266901,-95.35793821
ICT,37.65463678,-97.42896166
IDA,43.51430127,-112.0683477
IND,39.71802169,-86.32155365
IWA,33.30751144,-111.6604385
JFK,40.64742974,-73.81315833
LAN,42.77647208,-84.59201162
LAS,36.09377108,-115.1597163
LAX,33.93572553,-118.41564
LBB,33.65881973,-101.8258753
LGA,40.77593968,-73.87388437
LRD,27.54230459,-99.46206077
MAF,31.93836695,-102.2049643
MCO,28.44683926,-81.32681684
MDW,41.7860559,-87.75240298
MEM,35.05196408,-89.9768397
MFR,42.37197221,-122.8726389
MHT,42.93080964,-71.43756581
MIA,25.80114703,-80.28905144
MKE,42.94541944,-87.89708546
MQY,36.00767845,-86.52045836
MSO,46.91766045,-114.0885449
MSP,44.88702344,-93.23386853
MSY,29.99445152,-90.2562916
OAK,"37.72645223885712, -122.21824821917619",
OMA,"41.3003109186546, -95.89574008007618",
ONT,"34.05677186885441, -117.62048620325064",
ORD,"41.957480398805224, -87.92884762892643",
ORF,"36.89334928650193, -76.20122945442323",
PDX,"45.595668914626316, -122.6224992281904",
PGD,"26.917792609540076, -81.99408884314555",
PHL,"39.86193822769486, -75.27460682685546",
PHX,"33.438428489034706, -112.02807474363793",
PIE,"27.908514302660258, -82.68953318506553",
PIT,"40.494771827530414, -80.25343934943048",
PSP,"33.82563773584451, -116.50662482431693",
RAP,"44.04310305798967, -103.06009453768648",
RIC,"37.50682837659761, -77.32530174509502",
SAN,"32.73462053697424, -117.19946691913144",
SAT,"29.530092757328166, -98.47369392453396",
SAV,"32.12860896426482, -81.20101751041662",
SBA,"34.42629359960508, -119.83839987340951",
SDF,"38.18121385776183, -85.74622187934732",
SEA,"47.45728827018366, -122.31764705488405",
SFB,"28.77736969750686, -81.23734778205501",
SFO,"37.619569051104264, -122.39319663988312",
SHV,"32.45075086452408, -93.82744636548944",
SJU,"18.436897188637598, -66.01333843198557",
SLC,"40.789739996515024, -111.99688231588694",
STL,"38.746859754136565, -90.36970111897134",
SUS,"38.6623643266261, -90.6457489699719",
TPA,"27.97371506318118, -82.5412270267212",
TUL,"36.19476573631716, -95.88927054158229",
TUS,"32.11935229739636, -110.94029658739458",
TYS,"35.81216009779043, -83.99853976907055",
VPS,"30.494279666411582, -86.54960302376907",
YIP,"42.237284960933906, -83.53253556876544",
Clearwater,"27.920877627859255, -82.69502640697614",
Conroe,"30.349076474687333, -95.42359261280701",
Dobbins,"33.913856601780495, -84.52588367648478",
Ft. Worth,"32.783684807894836, -97.43746901859699",
Ft. Bragg,"35.135608927654204, -78.9467677053257",
Ft. Carson,"38.67798645256302, -104.76163355337549",
Felker AAF,"37.13608124099847, -76.60763918506831",
Ft. Lewis,"47.07789368123804, -122.5745532555093",
Los Alamitos,"33.79338807959531, -118.05912818425685",
Kansas City,"38.83601184306788, -94.89414108569724",
Augusta Municipal,"37.67226832232439, -97.07897946785674",
Trenton-Mercer,"40.28163226978071, -74.81123640811002",
